genotype,time,mean_module_lfc_ropi_dmso,p
WT_ctrl,6H,-0.047081825055098635,0.0402904807265781
WT_ctrl,36H,-0.048791572906327484,0.08564119822098175
WT_ctrl,84H,-0.008476525880336969,0.7352980822534667
TDP43M337V,6H,0.006966672969922092,0.8060140200010185
TDP43M337V,36H,-0.1066861302491913,0.0014031270731575602
TDP43M337V,84H,-0.04804276077581305,0.4514178274278204
TDP43M337V_DRD2KO,6H,-0.06372889446520527,0.0286696646347149
TDP43M337V_DRD2KO,36H,-0.04570164419901566,0.1505602164620442
TDP43M337V_DRD2KO,84H,-0.0669800651538148,0.2769817181608416
