symbol,log2FC_mutant_vs_ctrl,t_stat,fdr_bh
PCDHA2,3.935584834257767,55.79524915188609,1.7620838078357725e-08
ZNF558,3.1008062287190246,34.42850001852059,6.664966119929808e-07
FPGT,2.233724979786223,28.69686703314477,2.2572829787726955e-06
ZNF829,1.303361577421971,26.32879799939502,3.6447774390849517e-06
UTY,3.0552335973375837,19.236147431118184,4.696723947708425e-05
TMSB4Y,2.324911743716623,16.777786803055527,0.00012996915587850318
AP1S1,0.16911425760589036,11.86196198745881,0.002193448189472557
ZNF790-AS1,1.9354154504292407,11.698289080116094,0.002193448189472557
ATP13A3-DT,2.5567712014540795,11.512986584325551,0.0022040249873480264
CTSF,3.724984104791884,11.388073835597414,0.0022040249873480264
ZNF717,2.0085505880770698,10.836546118794475,0.0030468597971902434
CTXN2,0.38888818902794503,10.220331134159679,0.0045628724894226655
LINC02623,1.2304343750429718,9.610083042784616,0.0065243452682399354
ZNF726,1.1242630944386476,9.054198727185785,0.009805512578223763
GLRA1,0.9320608901789939,8.998551616629587,0.009805512578223763
PLD6,2.8455360766136044,8.906110966333552,0.010041343524296024
LINC00654,2.4256800418404425,8.715941555293487,0.010825703012809936
,1.4329796394337384,7.7573726161604615,0.023594031623523488
,1.140488365445729,7.681966854963788,0.024384483479202124
KIF25,1.0513704276408364,7.470524850509666,0.029123800689704077
ANKRD24,0.621292033888633,7.22251600907914,0.03545095191948403
HPDL,0.9440945501622008,7.211066188242061,0.03545095191948403
TMOD1,0.8309609475495983,7.144365962047943,0.03669759240992674
TCTA,0.41253608816725795,6.995822407840114,0.04063803665371249
ZNF580,0.2132869334196699,6.986183983070404,0.04063803665371249
