rank_nsig3,rank_all,pert_iname_lower,best_score,median_score,n_sigs
1,1,cd-00491sc,-0.38812768,-0.075508974,26
2,2,l-690488,-0.3768899,-0.028373595,59
3,3,4-iodo-6-phenylpyrimidine,-0.37614366,-0.065290764,59
4,4,tw-37,-0.3759929,-0.010066522,57
5,5,brd-k57732441,-0.37229344,-0.121681035,13
6,6,brd-k84924563,-0.3719705,0.031901296,59
7,7,trifluoperazine,-0.37158588,-0.011484488,134
8,8,brd-k60070073,-0.3707205,-0.098265134,13
9,9,brd-k35247118,-0.3698428,-0.08588349,4
10,10,brd-k49553303,-0.36980045,0.0022660524,13
11,11,brd-k07642375,-0.36970723,0.08650874,4
12,12,brd-k66426634,-0.36963773,-0.04014837,17
13,13,brd-k90999434,-0.3674578,0.016819978,59
14,14,sa-440832,-0.36571002,-0.1857653,8
15,15,brd-k83509924,-0.3629132,-0.0024200212,13
16,16,brd-k64099269,-0.36274794,-0.05598996,21
17,17,geldanamycin,-0.3625492,-0.015857674,934
18,18,brd-k36910796,-0.36131194,-0.041281253,8
19,19,calcitriol,-0.35879382,0.013110596,125
20,20,naltrexone,-0.35866567,0.0111623965,81
21,21,brd-k90430314,-0.3569188,-0.009625898,17
22,22,sd-6-035-a8,-0.3565646,-0.09164434,13
23,23,tg-100115,-0.35592058,-0.07047551,17
24,24,brd-k85592362,-0.3550891,-0.08346337,11
25,25,mw-shh-61,-0.3535247,0.07453786,101
26,26,aminoglutethimide,-0.35064304,-0.0425415,39
27,27,sa-1463814,-0.3503384,-0.04657894,18
28,28,nicardipine,-0.34984213,-0.017445413,88
29,29,ikk3-inhibitor-ix,-0.34917068,-0.0731471,59
30,30,iobenguane,-0.34795317,0.056958977,23
31,31,triacsin-c,-0.34777066,-0.102593765,59
32,32,brd-k67798612,-0.34775096,0.02337617,13
33,33,brd-k47709646,-0.3476584,-0.09193385,17
34,34,estradiol,-0.34632903,-0.034861103,302
35,35,sa-247384,-0.34550568,-0.100238524,21
36,36,genistein,-0.34091708,0.0070791235,274
37,37,brd-k65904652,-0.3394425,-0.18771684,13
38,38,bms-345541,-0.33937266,-0.07943449,66
39,39,brd-k15475572,-0.33873835,-0.0333877,17
40,40,brd-k58972465,-0.33832523,-0.06260695,17
41,41,amiloride,-0.3380447,-0.045501314,48
42,42,brd-k54577741,-0.3379238,-0.115720674,4
43,43,gsk-1904529a,-0.33783922,-0.07112829,65
44,44,mw-stk33-4c,-0.33750984,0.068505585,32
45,45,sd-8-005,-0.3374055,-0.008921953,22
46,46,brd-k53816294,-0.3371691,-0.009333366,17
47,47,nsc-95397,-0.3369249,-0.007307264,98
48,48,brd-k49441594,-0.33689308,0.053826857,9
49,49,sa-1457810,-0.33582985,0.06958864,12
50,50,brd-k25144184,-0.33383268,-0.09298278,13
51,51,brd-k96285502,-0.33379245,0.013362607,8
52,52,brd-k03176945,-0.33326808,0.02926727,16
53,53,masitinib,-0.33298272,-0.060833655,66
54,55,brd-k32896438,-0.33249107,-0.017066233,25
55,56,apo-866,-0.33184204,-0.059666142,59
56,57,idarubicin,-0.33175787,0.09312161,105
57,58,brd-k94544211,-0.33162242,0.00049994007,17
58,59,brd-k67519589,-0.3316197,-0.034101095,13
59,60,brivanib,-0.33094677,0.05720222,66
60,61,brd-k23282736,-0.33064863,0.003887822,13
61,62,brd-k83816656,-0.33012074,-0.08782037,13
62,63,st-012030,-0.3300792,-0.04501563,17
63,64,brd-k95367721,-0.3291558,-0.006648686,12
64,65,sa-1460224,-0.3290978,-0.011765683,26
65,66,st-4066738,-0.329029,-0.0630817,17
66,67,benfluorex,-0.32846808,0.0010522135,15
67,68,brd-k39507792,-0.3270049,0.047086217,12
68,69,brd-k24754728,-0.32643068,-0.024383299,13
69,70,mw-shh-97,-0.32630277,-0.05004807,101
70,71,brd-k02562327,-0.3262839,-0.036202278,19
71,72,brd-k41185612,-0.32604873,0.015411751,12
72,73,prl-3-inhibitor-i,-0.3257356,-0.044064194,94
73,74,brd-k46666779,-0.32549083,-0.1786713,8
74,75,cay-10415,-0.32460487,-0.049810644,17
75,76,tenofovir,-0.32434493,0.15040185,16
76,77,sd-8-006,-0.32431242,-0.075050026,24
77,78,dexamethasone-acetate,-0.324257,-0.00033826355,23
78,79,ipratropium,-0.32401678,0.015530051,65
79,80,brd-k24383920,-0.32361948,-0.11715457,8
80,81,brd-k57353465,-0.32353246,-0.009202606,12
81,82,genipin,-0.32353103,-0.10868389,11
82,83,brd-k88964386,-0.32311144,0.02304671,17
83,84,brd-k33720404,-0.32306272,0.05344823,13
84,85,brd-k37669227,-0.3225584,-0.066501364,28
85,86,coumestrol,-0.32234174,0.023624606,19
86,87,malonoben,-0.3218283,0.0038887062,31
87,88,sa-86418,-0.32130772,-0.035802472,12
88,89,hg-6-64-01,-0.32120606,-0.045442473,64
89,90,nfkb-activation-inhibitor-ii,-0.3203722,-0.04754285,57
90,91,tacedinaline,-0.32027358,0.012089767,130
91,92,sa-1463787,-0.32007593,-0.14047435,18
92,93,brd-k17025677,-0.32006636,-0.014701676,25
93,94,sa-1939079,-0.3199263,-0.04562644,17
94,95,brd-k49010888,-0.31971383,-0.075440004,45
95,96,sa-84512,-0.31955734,-0.09288304,25
96,97,brd-k98079119,-0.31940168,-0.101285845,12
97,98,tremorine,-0.31937772,-0.018290807,22
98,99,xav-939,-0.31935716,-0.04304948,107
99,100,epigallocatechin,-0.31766728,-0.058855146,59
100,101,brd-k50280607,-0.3175706,-0.10391012,17
101,102,brd-k30802967,-0.3175542,-0.07022959,12
102,103,brd-k12621773,-0.3173538,-0.0426436,30
103,104,lovastatin,-0.31710944,0.008598566,109
104,105,brd-k73418978,-0.31688106,0.077248976,17
105,106,dg-041,-0.31686005,-0.05351386,59
106,107,brd-k74163137,-0.3166745,0.09995339,13
107,108,sa-1457769,-0.31657305,-0.055434894,15
108,109,brd-k99395085,-0.31604284,-0.011585141,7
109,110,gw-843682x,-0.31600916,-0.047165558,134
110,111,brd-k33164466,-0.31588805,-0.07858714,17
111,112,brd-k95606637,-0.31586054,-0.09954216,59
112,113,cobalt(ii)-chloride,-0.31575775,-0.052602105,11
113,114,sa-427228,-0.31567833,-0.10062681,12
114,115,ethoxyquin,-0.31548956,0.03435254,4
115,116,flupirtine,-0.31496182,-0.13181928,18
116,117,brd-k31999759,-0.3149046,0.052636452,7
117,118,sch-23390,-0.31487972,0.0023248135,44
118,119,sa-90024,-0.31487787,-0.14817177,8
119,120,brd-k52225919,-0.3145188,-0.011359779,12
120,121,sa-246522,-0.31444114,-0.05941637,14
121,122,brd-k89329876,-0.31425267,-0.063954815,59
122,123,brd-k61053657,-0.3139012,-0.045750543,71
123,124,tubastatin-a,-0.31385154,-0.031513885,125
124,125,brd-k33116223,-0.3138184,0.09786603,13
125,126,montelukast,-0.31371865,-0.026914932,26
126,127,thioridazine,-0.31335703,-0.026225656,208
127,128,yl-54,-0.31316394,-0.008148256,11
128,129,brd-k77032321,-0.31310922,-0.009649376,12
129,130,brd-k00381581,-0.31307492,0.05686396,9
130,131,curcumin,-0.31298444,0.0037629164,324
131,132,fk-888,-0.31294402,0.049592894,19
132,133,mg-132,-0.31281307,0.039531063,72
133,134,brd-k99636700,-0.31252256,-0.043204106,70
134,135,ran-30,-0.31247157,0.051383495,17
135,136,sa-1458306,-0.31202966,0.04612478,22
136,137,droperidol,-0.3119565,-0.011773992,34
137,138,carbacyclin,-0.3116702,-0.033997446,53
138,139,ciclacillin,-0.3116142,-0.08542477,19
139,140,sa-1921614,-0.3115423,-0.08813236,8
140,141,brd-k63671514,-0.31098932,-0.004438716,11
141,142,oxalomalic-acid,-0.31025633,0.075616635,18
142,143,brd-k35429092,-0.31012848,-0.07652963,13
143,144,sa-1473468,-0.3100798,-0.12061555,18
144,145,brd-k46555627,-0.3096699,0.032341633,13
145,146,tegafur,-0.30966237,0.02531662,11
146,147,cp-724714,-0.30945888,0.032701783,82
147,148,brd-k67526586,-0.3094536,-0.13260496,8
148,149,brd-k51556300,-0.30942896,-0.1255218,45
149,150,mdl-28170,-0.30925965,0.0737419,19
150,151,bjm-hsc2-10,-0.30921826,0.03974805,11
151,152,t-0901317,-0.30883607,0.061546594,32
152,153,nifurtimox,-0.3086071,0.012307974,19
153,154,gmx-1778,-0.3084386,0.011133016,59
154,155,cefotaxime,-0.30824372,0.06855512,16
155,156,brd-k84874839,-0.30788964,-0.0034267197,13
156,157,rev-5901,-0.30779302,0.023487547,19
157,158,quinapril,-0.3077889,0.03138136,20
158,159,brd-k03358980,-0.30778518,-0.15896739,13
159,160,brd-k74711637,-0.30764073,-0.046879657,17
160,161,brd-k75416754,-0.30751193,0.024039619,7
161,162,mafenide,-0.30744314,-0.060939528,24
162,163,oxymetazoline,-0.3072665,-0.072122216,19
163,164,tipifarnib,-0.30719212,-0.047213487,59
164,165,amoxapine,-0.3069814,-0.032543834,34
165,166,brd-k64877338,-0.3068836,-0.04139801,28
166,167,brd-k82092559,-0.30688328,-0.022502365,61
167,168,brd-k98288062,-0.30674228,-0.017320724,13
168,169,brd-k15230829,-0.30649468,-0.08543824,12
169,170,trihexyphenidyl,-0.3064291,-0.038674362,4
170,171,sa-85268,-0.30594742,-0.2128423,12
171,172,panobinostat,-0.30571833,0.09086488,170
172,173,ntncb,-0.30533764,0.010391359,19
173,174,brd-k04289865,-0.30526975,-0.11237855,4
174,175,brd-k50131741,-0.3052316,-0.058367576,11
175,176,brd-k11533227,-0.3051477,-0.0075101005,64
176,177,brd-k11264391,-0.30508503,-0.07086162,8
177,178,sa-424827,-0.3049258,0.012595435,18
178,179,brd-k28180706,-0.30467194,0.07733475,12
179,180,brd-k19004531,-0.30443043,0.02281537,13
180,181,betaxolol,-0.30425066,-0.021144347,33
181,182,brd-k76236182,-0.30405363,-0.0042978916,17
182,183,praziquantel,-0.3040216,0.052261077,26
183,184,brd-k78701355,-0.3039647,-0.090782866,17
184,185,hydrocortisone,-0.30388722,-0.05937347,44
185,186,sa-423862,-0.30386856,-0.062795825,18
186,187,brd-k72381041,-0.3038378,-0.062485382,17
187,188,prilocaine,-0.3038147,-0.027465379,14
188,189,brd-k47533800,-0.3037426,-0.083894916,4
189,190,vorinostat,-0.30360892,0.011265188,1323
190,191,ptb1,-0.3035997,-0.0021122235,59
191,192,danazol,-0.3035946,-0.06001618,75
192,193,brd-k36895979,-0.30355293,-0.024060065,17
193,194,brd-k56392985,-0.30348742,-0.011165533,17
194,195,brd-k86948282,-0.30323896,-0.033871528,4
195,196,brd-k41513507,-0.30311993,-0.08313084,8
196,197,sa-243913,-0.30286247,-0.039064452,14
197,198,amiodarone,-0.3026645,0.038023256,113
198,199,valproic-acid,-0.3026624,-0.0326663,107
199,200,oxymetholone,-0.3023097,-0.07713054,14
200,201,terazosin,-0.3021428,0.030950319,28
201,202,brd-k39289507,-0.30204892,-0.020218551,13
202,203,brd-k11224669,-0.30196235,-0.04119518,17
203,204,hdac1-selective,-0.3018184,-0.023348201,118
204,205,brd-k90970920,-0.30166912,-0.054541208,13
205,206,tienilic-acid,-0.30118948,-0.12863442,11
206,207,brd-k84106030,-0.30107123,0.06641815,13
207,208,kinetin-riboside,-0.3010304,-0.10530953,71
208,209,sa-1459224,-0.30103,-0.038381737,19
209,210,brd-k93623501,-0.3008922,-0.055872187,12
210,211,brd-k04025047,-0.30072415,-0.0996715,11
211,212,sa-1457472,-0.30059123,0.02383376,26
212,213,brd-k45114207,-0.30047438,-0.03628916,18
213,214,brd-k09957764,-0.30042535,-0.08599231,10
214,215,brd-k09031632,-0.30032095,-0.007925367,11
215,216,brd-k95482240,-0.30025154,-0.0040748077,13
216,217,brd-k51454562,-0.2999799,0.013032936,12
217,218,erythromycin,-0.29969412,-0.009742875,41
218,219,brd-k19875179,-0.2996611,-0.006787229,17
219,220,meloxicam,-0.29960695,0.02604853,36
220,221,fludroxycortide,-0.29935792,0.00833209,38
221,222,brd-k79131428,-0.2993058,-0.09396306,13
222,223,sa-1459213,-0.29925722,0.14773072,7
223,224,gemcitabine,-0.29916036,0.025506586,153
224,225,sa-1939007,-0.29895443,-0.104890116,17
225,226,tripelennamine,-0.29890633,-0.07158534,30
226,227,ku-c103884,-0.29867148,0.103434525,13
227,228,sonidegib,-0.29864886,0.08198702,59
228,229,gitoxigenin,-0.29858413,-0.038168337,23
229,230,brd-k03651937,-0.2984231,-0.0025560148,13
230,231,sa-1922932,-0.29812402,-0.021203144,13
231,232,brd-k19826688,-0.29798043,-0.05401475,110
232,233,merck60,-0.29792026,0.007769692,75
233,234,mibefradil,-0.2979063,-0.04475411,36
234,235,brd-k24051260,-0.29789934,0.015013987,13
235,236,ritodrine,-0.29775313,0.016210092,34
236,237,brd-k84244541,-0.29757318,-0.1835522,6
237,238,bg-stk33-55,-0.29756376,-0.14335117,32
238,239,pu-h71,-0.29751745,0.021662729,18
239,240,brd-k98822179,-0.29744905,-0.09300518,8
240,241,brd-k08777248,-0.2973596,-0.056317966,13
241,242,cp-466722,-0.29728493,0.029512303,65
242,243,brd-k93578426,-0.29714933,-0.015525672,17
243,244,guanabenz,-0.29700133,0.0059736692,41
244,245,mesoridazine,-0.29699355,-0.0010172788,93
245,246,brd-k12623437,-0.29684472,0.0027663426,13
246,247,exemestane,-0.2968382,-0.054292157,38
247,248,fluphenazine,-0.2967067,-0.022546276,90
248,249,brd-k21918725,-0.2966771,-0.023664933,28
249,250,piperacillin,-0.29659894,-0.044327036,15
250,251,brd-k32582686,-0.29643172,-0.14209567,11
251,252,sunitinib,-0.29635316,-0.034332022,18
252,253,brd-k95080859,-0.29633757,0.0018700443,17
253,254,cyclopentolate,-0.29611975,-0.010616958,27
254,255,nu-1025,-0.29602045,-0.02623814,106
255,256,brd-k73082558,-0.2956542,-0.13142228,12
256,257,sa-85377,-0.2956205,-0.11793043,12
257,258,10-debc,-0.29552612,-0.0039348155,63
258,259,brd-k90826279,-0.29548597,-0.035156075,74
259,260,cdc,-0.2954025,0.053113386,19
260,261,fluspirilene,-0.29535276,-0.010219418,92
261,262,brd-k96903816,-0.29534742,-0.0040534753,8
262,263,prima1,-0.2951476,-0.06482944,59
263,264,sa-88642,-0.2950844,-0.016686955,18
264,265,hdac3-selective,-0.29508156,0.012396035,118
265,266,brd-k26510616,-0.2950106,-0.04347674,96
266,267,bendroflumethiazide,-0.29484853,-0.005302623,38
267,268,pargyline,-0.29467976,-0.005112524,22
268,269,tranilast,-0.2946732,0.048734233,50
269,270,brd-k08663380,-0.2946517,-0.048068326,55
270,271,ci-966,-0.29455206,-0.036451835,19
271,272,brd-k63733272,-0.2945224,0.0035662365,3
272,273,brd-k90735586,-0.29451248,-0.07389856,67
273,274,brd-k28377013,-0.29443458,0.033691235,13
274,275,brd-k25646871,-0.2943832,-0.053485032,3
275,276,bg-stk33-03,-0.29413658,-0.06553052,32
276,277,sa-84902,-0.2939901,0.024179893,25
277,278,pioglitazone,-0.2937515,-0.026752252,43
278,279,glycopyrrolate,-0.29375014,0.0022779196,28
279,280,brd-k31562577,-0.2936033,-0.04994442,8
280,281,sd-6-035-b1,-0.2935823,-0.07437117,13
281,282,chlorcyclizine,-0.29345387,-0.18179491,4
282,283,brd-k32644160,-0.29338405,0.024446273,32
283,284,hydroxycholesterol,-0.2933051,-0.12052662,24
284,285,brl-15572,-0.29328164,-0.028883334,19
285,286,l-692585,-0.29316014,-0.016096126,19
286,287,mw-stk33-1c,-0.2931434,-0.06193242,53
287,288,brd-k11977286,-0.29308876,0.042723835,12
288,289,brd-k27074404,-0.29298908,-0.000771504,15
289,290,withaferin-a,-0.29288748,0.04720342,227
290,291,uk-356618,-0.2926614,-0.061479244,59
291,292,sorafenib,-0.29264528,-0.024539065,104
292,293,sa-242443,-0.29261315,-0.056497138,14
293,294,brd-k63350243,-0.292474,0.02395719,35
294,295,brd-k50634134,-0.29242316,-0.08170044,13
295,296,cimetidine,-0.2923253,0.0036090198,45
296,297,rifampicin,-0.29220557,-0.019236298,50
297,298,brd-k32581454,-0.29212755,0.016919158,27
298,299,brd-k60341033,-0.29212067,0.04413357,11
299,300,doxercalciferol,-0.29210985,-0.059334237,17
300,301,pf-477736,-0.2920458,-0.038445707,48
301,302,brd-k88334823,-0.29195055,-0.08825247,4
302,303,bay-k-8644-(s)-(-),-0.2918934,-0.08066541,59
303,304,ofloxacin,-0.29185513,-0.11666128,14
304,305,sjb-shh-31,-0.2917683,-0.007098819,112
305,306,fluoropyruvate,-0.29171857,-0.07510623,95
306,307,pf-04217903,-0.29168865,0.012287965,143
307,308,flurofamide,-0.29161847,-0.061368752,19
308,309,antimycin-a,-0.2915867,0.054701805,37
309,310,brd-k15250199,-0.29158643,0.049046233,17
310,311,pirenperone,-0.2915803,-0.008132044,38
311,312,fulvestrant,-0.29146224,0.0072745187,281
312,313,brd-k78518750,-0.2913758,-0.14461592,4
313,314,brd-k28800414,-0.29126817,-0.020416062,13
314,315,ag-490,-0.29116172,0.0419781,46
315,316,deracoxib,-0.2910954,-0.012830809,23
316,317,captopril,-0.2910781,-0.100440234,14
317,318,brd-k03013810,-0.29102603,-0.018896217,9
318,319,brd-k61105081,-0.29098698,-0.16983755,13
319,320,gsk-2334470,-0.2909275,-0.034090694,59
320,321,brd-k23027438,-0.29087383,-0.08257516,30
321,322,brd-k79459005,-0.29070708,0.051061533,13
322,324,brd-k48654774,-0.290466,-0.034082785,12
323,325,brd-k03339442,-0.29038897,-0.044879526,13
324,326,le-135,-0.2900759,-0.026649065,78
325,327,brd-k33586157,-0.2899168,-0.07004294,18
326,328,cp-94253,-0.2898917,-0.004566037,19
327,329,mw-shh-98,-0.28988895,-0.110259935,101
328,330,gatifloxacin,-0.28982118,0.07884419,25
329,331,pregnenolone,-0.28981173,-0.07138528,53
330,332,sa-427636,-0.2897098,-0.13578579,12
331,333,pci-34051,-0.28955898,-0.05902964,131
332,334,mw-stk33-100,-0.28945777,-0.077778615,32
333,335,chaetocin,-0.28945753,0.03720936,94
334,336,sa-1459975,-0.28944567,-0.15322542,12
335,337,brd-k22013971,-0.2894115,-0.082561046,4
336,338,brd-k86273012,-0.2892616,-0.077801034,12
337,339,indatraline,-0.28921416,0.014626541,11
338,340,clenbuterol,-0.28906035,-0.12781507,3
339,341,sa-1919584,-0.2890508,-0.0546515,17
340,342,bg-1017,-0.28894946,-0.13553986,6
341,343,metaraminol,-0.28886932,-0.06561802,3
342,344,brd-k16180117,-0.288607,-0.031056035,17
343,345,ro-28-1675,-0.28856078,0.0251872,95
344,346,brd-k83727172,-0.28845674,-0.05713407,7
345,347,brd-k43009525,-0.28836894,-0.08834943,12
346,348,brd-k17530818,-0.2883437,-0.14228678,4
347,349,brd-k58547240,-0.28829765,-0.01372127,17
348,350,brd-k10355322,-0.2882588,-0.028970527,15
349,351,pd-173074,-0.28820315,-0.05463813,112
350,352,brd-a82913781,-0.28812823,-0.0030023032,30
351,353,brd-k55231301,-0.2880055,0.060738012,3
352,354,bax-channel-blocker,-0.28780288,-0.006091948,95
353,355,sb-525334,-0.28779843,-0.072323844,66
354,356,brinzolamide,-0.28775027,-0.0075909514,22
355,357,sa-101776,-0.28772175,-0.08779769,8
356,358,cephalexin,-0.2876378,-0.022853438,14
357,359,brd-k30066603,-0.28762752,0.022938,13
358,360,ym-298198,-0.2875673,-0.049942665,40
359,361,brd-k23582869,-0.28755745,-0.08609368,44
360,362,brd-k93605482,-0.28750956,0.076731145,13
361,363,batimastat,-0.28750327,0.004489596,59
362,364,brd-k44968548,-0.28745675,-0.16895966,4
363,365,tretinoin,-0.28734285,-0.015443399,221
364,366,brd-k89966732,-0.28731343,0.003662832,4
365,367,brd-a75558199,-0.28730118,0.0407847,12
366,368,tul_xix002,-0.2869607,-0.16427107,32
367,369,ub-165,-0.28684965,0.05942449,19
368,370,brd-k81527737,-0.28682417,-0.04391111,12
369,371,ski-ii,-0.28682005,0.02596078,125
370,373,brd-k20718732,-0.28639308,-0.17495382,11
371,374,brd-k18359792,-0.28632253,-0.06824168,11
372,375,brd-k63947990,-0.2863091,-0.1295546,8
373,376,bimatoprost,-0.28609633,-0.013390323,11
374,377,brd-k45322187,-0.28598434,-0.047326956,9
375,378,brd-k41871066,-0.2858258,0.09811297,14
376,379,brd-k78603557,-0.2856479,-0.07712171,17
377,380,fosinopril,-0.28537396,0.01843724,11
378,381,brd-k10855750,-0.2853282,-0.020750804,13
379,382,brd-a83993876,-0.2853197,0.040252704,12
380,383,sa-1456734,-0.28530493,-0.09550054,8
381,384,brd-k45542213,-0.28521106,-0.13699168,11
382,385,brd-a10330754,-0.2851907,0.0061418484,17
383,386,brd-k44421914,-0.28511873,-0.03633935,10
384,387,methoxsalen,-0.28506806,0.038811967,34
385,388,brd-k23438281,-0.28500625,-0.09936731,4
386,389,brd-k76223260,-0.28474313,-0.03925296,4
387,390,pirfenidone,-0.28463256,-0.03108316,19
388,391,clopidogrel,-0.28451532,0.0791643,19
389,392,brd-k28083085,-0.2844978,0.057011463,14
390,393,brd-k46373671,-0.28447887,-0.09577195,13
391,394,estrone,-0.28433868,-0.02499315,92
392,395,dapsone,-0.28431287,-0.060493447,14
393,396,sildenafil,-0.2842054,0.0020433343,133
394,397,brd-k02519835,-0.28414893,-0.16928607,4
395,398,mw-stk33-2b,-0.28413692,-0.104987,45
396,399,brd-k72883421,-0.28404903,-0.07246149,15
397,400,levcromakalim,-0.28394514,0.07266704,19
398,401,rs-56812,-0.28394052,0.093828976,19
399,402,loperamide,-0.28375873,0.015239261,95
400,403,brd-k12814321,-0.28370193,-0.0060466044,12
401,404,brd-k43838150,-0.28343698,0.021527419,11
402,405,brd-k72462994,-0.28335187,-0.08313978,8
403,406,brd-k73664775,-0.28326428,-0.002354147,4
404,407,ku-c104137,-0.28311226,0.15065506,12
405,408,brd-k00007652,-0.28307876,-0.110031895,21
406,409,rizatriptan,-0.28298345,-0.02540085,34
407,410,anandamide,-0.28293106,-0.054447692,44
408,411,brd-k41390249,-0.28277865,-0.17909727,4
409,412,brd-k61106942,-0.2825491,-0.072324015,13
410,413,hemado,-0.28253326,0.011707322,19
411,414,perphenazine,-0.2824796,-0.037805162,37
412,415,wy-01-034,-0.28228,-0.07823954,101
413,416,sa-423131,-0.28223145,-0.014233394,25
414,417,brd-k76188144,-0.28223127,0.017349517,58
415,418,spironolactone,-0.2820785,-0.019938214,33
416,419,sa-1447005,-0.28205395,-0.07444407,29
417,420,brd-k74596421,-0.28202072,-0.04113726,13
418,421,miconazole,-0.28172243,0.09253306,3
419,422,ag-957,-0.28171274,-0.008770509,23
420,423,tetrahydrobiopterin,-0.28159806,-0.072114885,11
421,424,mitomycin-c,-0.2815956,0.09587179,34
422,425,broad-sai-370,-0.28158933,-0.046625316,22
423,426,brd-k98634983,-0.28158092,0.024896787,17
424,427,brd-k58247702,-0.28157064,-0.15472655,12
425,428,brd-k39208132,-0.28155828,-0.029681407,15
426,429,brd-k73238422,-0.2814689,-0.11366527,17
427,430,pf-3845,-0.2814411,0.018411461,59
428,431,brd-k39211770,-0.28139076,-0.0036538187,4
429,432,ibuprofen-(s),-0.28135252,-0.018623324,23
430,433,cpccoet,-0.2812432,-0.057511542,19
431,434,brd-k34836852,-0.28115794,-0.16960368,4
432,435,brd-k98439022,-0.2810806,-0.09486681,12
433,436,brd-k69501658,-0.2808145,0.113488704,17
434,437,brd-k29451642,-0.28080276,-0.061194487,11
435,438,sa-1456352,-0.2807917,-0.15939525,12
436,439,tolazamide,-0.2807211,0.0074284514,107
437,440,cyclosporin-a,-0.28071195,0.009933518,142
438,441,qw-bi-011,-0.2807065,-0.11167584,17
439,442,brd-a37656721,-0.28066143,-0.09865426,31
440,443,parecoxib,-0.28064933,-0.0705885,11
441,444,sa-1459020,-0.28062108,-0.074309975,26
442,445,brd-k87063901,-0.280603,-0.071543366,8
443,446,brd-k84039354,-0.28038132,-0.049217574,13
444,447,brd-k07967886,-0.28037956,-0.096932545,8
445,448,ginsenoside,-0.28017467,0.0018646807,19
446,449,brd-k93156709,-0.28016508,-0.024613269,4
447,450,brd-k81813927,-0.28016412,-0.058323313,17
448,451,emf-bca1-57,-0.28011224,-0.07164714,31
449,452,brd-k59036917,-0.28010288,0.010894192,72
450,453,brd-k78921480,-0.28008318,-0.055729344,3
451,454,mirtazapine,-0.2798942,0.008014927,49
452,455,brd-k92266998,-0.27985218,-0.16762462,3
453,456,terconazole,-0.27983606,0.020132007,23
454,457,brd-k68548958,-0.2795183,-0.027308196,59
455,458,sa-419021,-0.27937642,-0.075394146,13
456,459,brd-k91047982,-0.27931216,-0.10500699,18
457,460,st-91,-0.27930486,-0.12534754,19
458,461,xmd-1150,-0.2792713,-0.03317374,78
459,462,brd-k26370510,-0.27914944,-0.034067456,6
460,463,brd-k25731886,-0.27914906,0.06772292,16
461,464,deoxycholic-acid,-0.27905568,0.04108213,30
462,465,sa-419090,-0.27891138,-0.09985189,12
463,466,mgcd-265,-0.27883765,-0.1257388,48
464,467,sa-83851,-0.27882162,-0.036874812,18
465,468,proxymetacaine,-0.27867484,-0.031779155,34
466,469,brd-k96839270,-0.278651,-0.058162805,3
467,470,brd-k45735142,-0.27843988,-0.016356546,14
468,471,lamotrigine,-0.27839926,0.02540487,30
469,472,akt-inhibitor-1-2,-0.27834848,0.036507264,104
470,473,brd-k96326565,-0.2783223,-0.0026121035,17
471,474,brd-k12182524,-0.2783111,-0.11467016,13
472,475,brd-k51189903,-0.27818003,-0.0388546,13
473,476,famotidine,-0.27816975,0.056659866,14
474,477,sulforaphane,-0.27816513,-0.07715079,262
475,478,equilin,-0.27814382,-0.0029121316,91
476,479,pifithrin-mu,-0.27812734,-0.01526786,146
477,480,brd-k69218883,-0.27803853,0.0201757,13
478,481,tbep,-0.27803767,-0.08135409,11
479,482,brd-k86682249,-0.27794343,0.016133307,74
480,483,brd-k92302554,-0.27791172,-0.123204425,8
481,484,benzopurpurin-4b,-0.27781814,0.040553898,23
482,485,rhc-80267,-0.27781415,0.08931641,19
483,486,celecoxib,-0.2777835,-0.012041267,46
484,487,brd-k09977233,-0.2775007,-0.11122944,17
485,488,ku-c104219,-0.27740645,0.023338797,13
486,489,auraptene,-0.277406,-0.045314513,19
487,490,pyrrolidine-dithiocarbamate,-0.27726474,-0.111532964,19
488,491,ku-c104140,-0.27721444,0.07482664,13
489,493,fl-hdac-025,-0.27718487,-0.027041212,96
490,494,brd-k11883928,-0.2771544,0.09230953,17
491,495,brd-k17874705,-0.2770878,-0.10894532,11
492,496,pq-401,-0.27708337,0.054347903,19
493,497,trimetozine,-0.2768982,-0.00010132994,23
494,498,scriptaid,-0.27689067,-0.016895974,61
495,499,prostaglandin,-0.27681646,-0.12168418,18
496,500,lidocaine,-0.27679962,-0.057410434,33
497,501,brd-k62818989,-0.27673057,0.05064423,21
498,502,chlorphenamine,-0.27672297,0.013006754,60
499,503,xmd-16144,-0.2765619,0.053083204,66
500,504,sa-247592,-0.27654073,0.041665427,12
501,505,sa-1456456,-0.27641186,-0.0017515715,19
502,506,brd-k89912164,-0.27629817,-0.0530243,6
503,507,brd-k69795440,-0.27626726,-0.03789433,13
504,508,aica-ribonucleotide,-0.27625278,-0.058152743,59
505,509,brd-k64024097,-0.2761317,-0.062226202,135
506,510,pantoprazole,-0.27609998,-0.09282115,30
507,511,brd-k24565544,-0.27605116,-0.04261693,7
508,512,brd-k35188965,-0.27597266,-0.032854874,11
509,513,clofibric-acid,-0.2757741,-0.036495857,27
510,514,brd-k35716340,-0.27573198,0.02584337,56
511,515,sq-22536,-0.27568826,-0.034084085,19
512,516,dilazep,-0.27561906,-0.02657428,30
513,517,brd-k73261812,-0.27551982,-0.04225534,59
514,518,brd-k64864583,-0.2755051,-0.095738724,11
515,519,orantinib,-0.27550453,-0.07668288,77
