rank_nsig3,rank_all,pert_iname_lower,best_score,median_score,n_sigs
7025,7606,brd-k37300049,-0.14578548,0.055816196,4
7026,7607,brd-k07727895,-0.14577834,-0.06259395,4
7027,7608,ku-c104142,-0.14576572,0.099062115,13
7028,7609,brd-k07418207,-0.14575793,-0.04245927,3
7029,7610,brd-k05814022,-0.1457521,-0.038999,5
7030,7613,n-methylquipazine,-0.14573158,0.018959189,15
7031,7614,brd-k84890987,-0.14569205,-0.09852004,4
7032,7615,brd-k02290471,-0.14566822,-0.09307647,4
7033,7616,brd-k24112840,-0.1456679,-0.08817372,5
7034,7617,brd-k61284851,-0.14566311,0.014986228,7
7035,7618,brd-k88786596,-0.14566171,0.0021697935,4
7036,7619,brd-k28312904,-0.14564574,-0.018913614,6
7037,7620,brd-k59805090,-0.14564252,-0.025946138,11
7038,7621,brd-k88569143,-0.14563663,0.04553884,17
7039,7623,brd-k14471579,-0.14558682,-0.032573458,5
7040,7624,brd-k78018080,-0.14558317,-0.06481782,12
7041,7625,brd-k05994859,-0.14557591,-0.013200868,5
7042,7626,brd-k54906270,-0.14555761,0.027303955,23
7043,7627,brd-k12382140,-0.1455428,-0.045212578,6
7044,7628,brd-k11468724,-0.14553158,0.044532508,4
7045,7629,brd-k93229693,-0.14551637,-0.012555463,13
7046,7630,brd-k44029733,-0.14551158,-0.0032690726,4
7047,7631,allantoxanamide,-0.14550692,-0.008050625,6
7048,7632,brd-k28452359,-0.14549172,-0.03812848,5
7049,7633,latamoxef,-0.14549096,0.030976517,4
7050,7634,asiatic-acid,-0.1454826,0.03431683,23
7051,7635,ro-04-6790,-0.14547521,0.0661314,23
7052,7636,brd-k52047117,-0.14543721,-0.09900254,4
7053,7637,brd-k43680293,-0.14543675,0.11214412,4
7054,7638,brd-k06555318,-0.14543529,0.004861599,3
7055,7639,brd-k38796873,-0.14542826,-0.0665355,6
7056,7640,brd-k96646082,-0.14541604,-0.044885058,6
7057,7641,brd-k10649245,-0.14541489,0.0054015163,13
7058,7643,brd-k40219191,-0.14539056,-0.03634143,4
7059,7644,brd-k40212960,-0.1453715,0.0034540063,6
7060,7645,brd-k16625384,-0.14534652,-0.016941229,13
7061,7647,brd-k14245765,-0.14533487,0.01560779,5
7062,7648,brd-k92958239,-0.14533323,-0.0003607981,4
7063,7649,brd-k11857988,-0.14531484,-0.041705884,6
7064,7650,brd-k20369357,-0.14527795,-0.1285312,5
7065,7651,cisplatin,-0.14527565,0.047385212,54
7066,7652,brd-k36269259,-0.14526865,0.02199154,6
7067,7653,brd-k42605282,-0.14525884,-0.008852392,5
7068,7654,desmethyl-dasb,-0.1452516,-0.024084052,6
7069,7655,brd-k18891555,-0.14524297,-0.043442372,4
7070,7656,brd-k08293924,-0.14524217,0.0201061,14
7071,7657,brd-k09929530,-0.14524151,-0.064450845,4
7072,7658,brd-k72391864,-0.14523607,-0.109408915,3
7073,7659,brd-k62291994,-0.14522956,-0.0677974,8
7074,7660,5-aminolevulinic-acid,-0.14521815,0.03975509,11
7075,7661,methylergometrine,-0.14520241,0.073170446,37
7076,7663,brd-k30633722,-0.14517993,-0.032619298,14
7077,7664,brd-k28362289,-0.14515787,0.057097837,12
7078,7666,brd-k70901996,-0.1451522,0.0049072765,5
7079,7667,brd-k97101742,-0.14512636,-0.098109,4
7080,7668,brd-k52435112,-0.14511429,-0.12286946,4
7081,7669,brd-k12484748,-0.14511248,0.09510437,4
7082,7670,brd-k41557448,-0.1450796,-0.016413061,11
7083,7671,brd-k76772814,-0.14507508,-0.05411383,12
7084,7673,brd-k55502647,-0.14502163,-0.007783607,15
7085,7674,cay-10618,-0.14501524,-0.0046667815,59
7086,7675,brd-k43073442,-0.14498323,-0.04719792,5
7087,7677,bemegride,-0.14495483,0.011234124,23
7088,7678,brd-k82469533,-0.14495395,-0.06161359,12
7089,7679,brd-k97924168,-0.14491493,-0.073133275,10
7090,7681,brd-k60836534,-0.14490026,-0.052668683,12
7091,7682,hexylcaine,-0.14488737,0.08946013,23
7092,7683,brd-k64701969,-0.1448698,-0.09953152,4
7093,7684,brd-k44638353,-0.14486748,-0.034648623,6
7094,7685,brd-k76243603,-0.1448504,0.10502417,5
7095,7687,l-buthionine-sulfoximine,-0.14483708,0.04285471,54
7096,7688,brd-k56327795,-0.14483029,-0.046019644,6
7097,7689,brd-k74667984,-0.14482544,0.04455619,4
7098,7690,brd-k72072919,-0.14482397,0.07161984,6
7099,7691,brd-k28513938,-0.14480571,0.0017893761,5
7100,7692,brd-k63712590,-0.14474544,0.069882035,12
7101,7694,brd-k39581664,-0.14470673,-0.04015055,6
7102,7695,nabumetone,-0.1447058,-0.040108763,19
7103,7696,brd-k37639981,-0.14470293,-0.015779639,3
7104,7697,brd-k15707609,-0.14469492,-0.10082844,6
7105,7698,brd-k74980345,-0.14468585,-0.006745731,13
7106,7699,brd-k64618192,-0.1446442,-0.051569737,4
7107,7700,brd-k62019457,-0.14462769,-0.008764756,18
7108,7701,brd-k18567420,-0.14462557,0.009157481,4
7109,7702,brd-k67192456,-0.14462501,-0.010956637,6
7110,7704,brd-k73716473,-0.14459306,-0.048839856,5
7111,7705,narciclasine,-0.14458515,0.03542175,90
7112,7706,brd-k22743786,-0.14458223,-0.0663453,3
7113,7707,hydroxyfasudil,-0.14456518,0.016938686,15
7114,7708,equol,-0.14455627,0.011982292,48
7115,7709,sisomicin,-0.14455469,-0.027649647,4
7116,7710,brd-k45695271,-0.14454135,-0.04479589,7
7117,7711,brd-k72061918,-0.1445258,-0.09185736,3
7118,7712,brd-k10006632,-0.14450164,0.027989518,5
7119,7713,brd-k66046647,-0.1444985,0.009183948,5
7120,7714,brd-k53283295,-0.14448233,-0.03869792,6
7121,7715,cvf-sumo-13,-0.14447232,-0.0074611525,18
7122,7716,brd-a79058669,-0.14446849,-0.05319418,6
7123,7717,brd-k74998149,-0.14445157,0.17098299,4
7124,7718,brd-k18377730,-0.14445153,-0.06631935,4
7125,7719,brd-k22324798,-0.14444825,-0.010589913,4
7126,7723,brd-k04237106,-0.14440204,-0.03652033,5
7127,7724,brd-k48005755,-0.14437544,-0.051433247,6
7128,7725,ecopipam,-0.1443745,-0.007273945,19
7129,7726,tyramine,-0.14436634,-0.03101616,6
7130,7727,brd-k24192521,-0.14436121,-0.00195924,6
7131,7728,brd-k44575778,-0.14434202,0.012588272,13
7132,7729,brd-k17203693,-0.14431618,0.00611135,14
7133,7730,brd-k54046891,-0.14430937,-0.11096965,4
7134,7731,gentamicin,-0.14428183,0.2169268,3
7135,7732,kuc103424n,-0.14426295,0.055378366,13
7136,7733,brd-k25776214,-0.14426108,0.0013923085,5
7137,7734,brd-k22447604,-0.14424872,-0.11578505,4
7138,7735,prunetin,-0.14423357,0.08057411,8
7139,7736,nnc-55-0396,-0.14422421,0.06070316,31
7140,7737,brd-k05726929,-0.1442159,-0.05940128,4
7141,7738,brd-k92347680,-0.1441984,-0.05624297,6
7142,7739,brd-k94655951,-0.14417554,-0.093212396,4
7143,7741,brd-k54756845,-0.14413543,0.023045767,6
7144,7742,brd-k71138616,-0.14412673,0.045304853,13
7145,7743,brd-k43349989,-0.14412478,-0.11234808,4
7146,7745,jfd02227,-0.14412032,0.029831354,17
7147,7746,brd-k87166736,-0.14411636,-0.07849548,6
7148,7747,brd-k12411950,-0.14409526,0.03473252,13
7149,7748,olvanil,-0.14408945,0.08837483,19
