sample_accession,counts_column,condition,cell_line,genotype_label,platform,culture_format,biological_replicate,experiment,title
GSM8075864,M5-3_EDi043-A_CTR_02,control,EDi043-A,CTR,Chip,Flow,2,5.3,"iPSC-derived motor neuron cultures, control, line EDi043-A, Chip, Flow, rep 2, experiment 5.3"
GSM8075863,M5-3_EDi043-A_CTR_01,control,EDi043-A,CTR,Chip,Flow,1,5.3,"iPSC-derived motor neuron cultures, control, line EDi043-A, Chip, Flow, rep 1, experiment 5.3"
GSM8075859,M5-3_EDi022-A_CTR_03,control,EDi022-A,CTR,Chip,Flow,3,5.3,"iPSC-derived motor neuron cultures, control, line EDi022-A, Chip, Flow, rep 3, experiment 5.3"
GSM8075858,M5-3_EDi022-A_CTR_02,control,EDi022-A,CTR,Chip,Flow,2,5.3,"iPSC-derived motor neuron cultures, control, line EDi022-A, Chip, Flow, rep 2, experiment 5.3"
GSM8075857,M5-3_EDi022-A_CTR_01,control,EDi022-A,CTR,Chip,Flow,1,5.3,"iPSC-derived motor neuron cultures, control, line EDi022-A, Chip, Flow, rep 1, experiment 5.3"
GSM8075862,M5-3_EDi029-A_CTR_01,control,EDi029-A,CTR,Chip,Flow,1,5.3,"iPSC-derived motor neuron cultures, control, line EDi029-A, Chip, Flow, rep 1, experiment 5.3"
GSM8075861,M5-3_EDi028-A_CTR_03,control,EDi028-A,CTR,Chip,Flow,3,5.3,"iPSC-derived motor neuron cultures, control, line EDi028-A, Chip, Flow, rep 3, experiment 5.3"
GSM8075860,M5-3_EDi028-A_CTR_02,control,EDi028-A,CTR,Chip,Flow,2,5.3,"iPSC-derived motor neuron cultures, control, line EDi028-A, Chip, Flow, rep 2, experiment 5.3"
GSM8075848,M5-3_0002iCTR_03,control,0002iCTR,CTR,Chip,Flow,3,5.3,"iPSC-derived motor neuron cultures, control, line 0002iCTR, Chip, Flow, rep 3, experiment 5.3"
GSM8075847,M5-3_0002iCTR_02,control,0002iCTR,CTR,Chip,Flow,2,5.3,"iPSC-derived motor neuron cultures, control, line 0002iCTR, Chip, Flow, rep 2, experiment 5.3"
GSM8075843,M5-1_EDi022-A_CTR_03,control,EDi022-A,CTR,Chip,Flow,3,5.1,"iPSC-derived motor neuron cultures, control, line EDi022-A, Chip, Flow, rep 3, experiment 5.1"
GSM8075842,M5-1_EDi022-A_CTR_02,control,EDi022-A,CTR,Chip,Flow,2,5.1,"iPSC-derived motor neuron cultures, control, line EDi022-A, Chip, Flow, rep 2, experiment 5.1"
GSM8075846,M5-1_EDi028-A_CTR_03,control,EDi028-A,CTR,Chip,Flow,3,5.1,"iPSC-derived motor neuron cultures, control, line EDi028-A, Chip, Flow, rep 3, experiment 5.1"
GSM8075845,M5-1_EDi028-A_CTR_02,control,EDi028-A,CTR,Chip,Flow,2,5.1,"iPSC-derived motor neuron cultures, control, line EDi028-A, Chip, Flow, rep 2, experiment 5.1"
GSM8075844,M5-1_EDi028-A_CTR_01,control,EDi028-A,CTR,Chip,Flow,1,5.1,"iPSC-derived motor neuron cultures, control, line EDi028-A, Chip, Flow, rep 1, experiment 5.1"
