effect_pts_per_month,n_per_arm,power,arm
0.3,420,1.0,oracle
0.3,550,1.0,oracle
0.3,700,1.0,oracle
0.3,900,1.0,oracle
0.5,4,0.182,none
0.5,6,0.3887,none
0.5,8,0.5433,none
0.5,12,0.7993,none
0.5,16,0.9187,none
0.5,24,0.9847,none
0.5,32,0.9967,none
0.5,45,1.0,none
0.5,60,1.0,none
0.5,80,1.0,none
0.5,110,1.0,none
0.5,150,1.0,none
0.5,200,1.0,none
0.5,260,1.0,none
0.5,330,1.0,none
0.5,420,1.0,none
0.5,550,1.0,none
0.5,700,1.0,none
0.5,900,1.0,none
0.5,4,0.192,noise
0.5,6,0.3773,noise
0.5,8,0.546,noise
0.5,12,0.7907,noise
0.5,16,0.916,noise
0.5,24,0.9867,noise
0.5,32,0.996,noise
0.5,45,1.0,noise
0.5,60,1.0,noise
0.5,80,1.0,noise
0.5,110,1.0,noise
0.5,150,1.0,noise
0.5,200,1.0,noise
0.5,260,1.0,noise
0.5,330,1.0,noise
0.5,420,1.0,noise
0.5,550,1.0,noise
0.5,700,1.0,noise
0.5,900,1.0,noise
0.5,4,0.2467,clinical_static
0.5,6,0.432,clinical_static
0.5,8,0.6207,clinical_static
0.5,12,0.8553,clinical_static
0.5,16,0.9427,clinical_static
0.5,24,0.992,clinical_static
0.5,32,0.9993,clinical_static
0.5,45,1.0,clinical_static
0.5,60,1.0,clinical_static
0.5,80,1.0,clinical_static
0.5,110,1.0,clinical_static
0.5,150,1.0,clinical_static
0.5,200,1.0,clinical_static
0.5,260,1.0,clinical_static
0.5,330,1.0,clinical_static
0.5,420,1.0,clinical_static
0.5,550,1.0,clinical_static
0.5,700,1.0,clinical_static
0.5,900,1.0,clinical_static
0.5,4,0.2887,nfl_ml
0.5,6,0.5187,nfl_ml
0.5,8,0.7393,nfl_ml
0.5,12,0.9173,nfl_ml
0.5,16,0.9753,nfl_ml
0.5,24,0.9973,nfl_ml
0.5,32,1.0,nfl_ml
0.5,45,1.0,nfl_ml
0.5,60,1.0,nfl_ml
0.5,80,1.0,nfl_ml
0.5,110,1.0,nfl_ml
0.5,150,1.0,nfl_ml
0.5,200,1.0,nfl_ml
0.5,260,1.0,nfl_ml
0.5,330,1.0,nfl_ml
0.5,420,1.0,nfl_ml
0.5,550,1.0,nfl_ml
0.5,700,1.0,nfl_ml
0.5,900,1.0,nfl_ml
0.5,4,0.56,oracle
0.5,6,0.8627,oracle
0.5,8,0.964,oracle
0.5,12,0.9953,oracle
0.5,16,1.0,oracle
0.5,24,1.0,oracle
0.5,32,1.0,oracle
0.5,45,1.0,oracle
0.5,60,1.0,oracle
0.5,80,1.0,oracle
0.5,110,1.0,oracle
0.5,150,1.0,oracle
0.5,200,1.0,oracle
0.5,260,1.0,oracle
0.5,330,1.0,oracle
0.5,420,1.0,oracle
0.5,550,1.0,oracle
0.5,700,1.0,oracle
0.5,900,1.0,oracle
